,Sampling1,Sampling2,Sampling3,Sampling4
M1,0.974025974025974,0.9836065573770492,0.9508196721311475,1.0
M2,0.6233766233766234,0.7213114754098361,0.7540983606557377,0.7352941176470589
M3,0.8441558441558441,0.9016393442622951,0.9508196721311475,0.8725490196078431
M4,0.8571428571428571,0.9016393442622951,0.9016393442622951,0.8823529411764706
M5,0.961038961038961,0.9344262295081968,0.8852459016393442,0.9803921568627451
